МШХч,ЦШТӘРФ
number__РЎКұ_sin,0.2936731980040954
number__РЎКұ_cos,0.2012269459232183
number__ИХЖЪРтәЕ,0.17817734964018742
number__temp,0.07241432068141897
category__workingday_1,0.04481825885876798
category__workingday_0,0.04200199589654105
number__atemp,0.029051622695520463
number__hum,0.028281591669661627
category__КЗ·сёЯ·еРЎКұ_1,0.020571489090826175
category__hr_8,0.019975909377721222
category__КЗ·сёЯ·еРЎКұ_0,0.016014484607562673
category__weathersit_3,0.013053367123722261
number__windspeed,0.005632497453320595
category__weekday_5,0.004562859981872953
category__hr_6,0.0030208556916373913
category__hr_20,0.002166348553513362
category__hr_10,0.0018432058203866706
category__hr_7,0.001512780950459494
category__weekday_0,0.0015030639647057621
category__hr_9,0.0014171586304193126
